id;loyalty_program_name;loyalty_program_member;loyalty_program_number;loyalty_program_tier
b97b8e41-54d1-436c-a63f-5a95d5b9d5e2;Handmade feed dot-com;true;index Automotive;Sudan
d74166ea-a75a-4976-88f5-00604cb9ee73;Human;true;parsing deposit haptic;Money
a86029e2-61f8-4481-8621-631ac26e5fc0;Awesome drive Awesome;true;Keys;matrix
33180967-5665-43dc-90f1-aa98aa5e9028;Austria Exclusive;false;Incredible;relationships radical Buckinghamshire
f6fadffa-823d-4c34-8ea4-53170fa797c8;PNG;false;back-end Fish;Response alarm
cb7a4337-bdb8-4942-a8a9-7939ba623554;Liberian Shirt Handcrafted;true;bypassing connecting Electronics;connecting Cambridgeshire
0ad0c667-6f13-4c89-a258-a3127bf83e30;killer withdrawal compressing;true;alarm;seize optical Grove
1fa6de7b-8148-46f6-8961-0b59ecd12fcd;Cheese connecting;true;Universal;indigo Sausages Maine
72b8202a-d195-4f37-a31c-90f5ebd19106;Handmade;true;discrete Licensed;Loan ubiquitous multimedia
e4629e22-72f6-430f-a012-cd610d90804e;copy invoice Outdoors;true;Pizza;1080p Florida Senior
