id;reservation_number;room_number;services;prices;amenities
e56d48a4-8638-4517-a6bc-ce3adb0350cb;payment;60883;Finland;45401;Architect Architect Account
6df6f109-34d0-4b6b-a454-44e818589f11;invoice Games circuit;61179;groupware even-keeled customized;54015;generate Barbados Pass
f14c519a-2f25-4a01-919c-5583da1735bb;turn-key HTTP Saint;13180;collaboration algorithm;75034;synergistic
a77ffe03-4997-4157-a3be-c73701ef5b43;collaborative methodologies;87365;cross-platform;68158;Tools Mouse Salad
49f940f4-e935-407d-97c2-36053366ff26;Pakistan Crossing port;29001;deposit;21813;optical Division
72be56d1-9fb1-416e-85bb-02ca1aac3e07;Concrete orchid Configuration;100;one-to-one;35355;Gloves IB
37b7826a-bc31-4329-a1bd-d3c58046c26c;indexing;52992;action-items synthesizing;65099;Poland
7364246f-47fa-403b-833f-05d60c67ade7;France;17328;Oregon cultivate;32513;Belize explicit red
7b773529-4338-4ed1-b50f-6d4e587a7197;PNG TCP Soft;96401;olive Guinea GB;28224;aggregate
dae0859d-8528-4f8f-b603-c413bff3f13c;Rapids Quality-focused;70946;Salad Comoros;80833;withdrawal
