id;time;report_number;more_help;satisfaction
c21d45eb-8dd7-4ef8-9c6c-8525a9a98d89;2023-06-22T07:22:01;7820;sky;62099
a048c2aa-77c2-40e5-8ccd-af7537385448;2023-06-22T00:03:05;94668;Concrete;81740
3c0568e8-c713-4c1d-9f55-d6a731f1f8da;2023-06-21T17:37:18;38521;architecture Branding;39862
f6593e48-aa33-4db7-ad32-98d04258a881;2023-06-22T09:39:34;68508;Movies Salad;56899
8aff659c-e1b3-469f-a5ad-df29d6590095;2023-06-21T15:13:27;95654;channels Harbor;4274
fac57129-5d8c-400b-8eb6-748916604619;2023-06-22T09:58:41;86002;Communications IB;21555
1e5aa7f4-2400-4d85-a2e2-a49156a14b56;2023-06-21T22:19:18;22698;Regional;67871
774ce455-c705-476e-95f0-a2b007174255;2023-06-21T22:34:11;55259;digital Cotton;26246
627a2ae5-81cf-4beb-9585-8d1a7442ef92;2023-06-22T12:36:05;85037;digital;85452
d79f5b39-6c3f-48d1-b584-019c1b7c7d71;2023-06-21T15:14:17;10576;Cotton bandwidth-monitored deposit;60458
